booking_id,booking_date,booking_time,day_of_week,is_weekend,hour_of_day,city,pickup_location,drop_location,vehicle_type,ride_distance_km,estimated_ride_time_min,actual_ride_time_min,traffic_level,weather_condition,base_fare,surge_multiplier,booking_value,booking_status,incomplete_ride_reason,customer_id,driver_id
B_000001,2025-12-11,00:07:00,Thursday,0,0,Mumbai,Loc_19,Loc_16,Bike,7.01,46.3,,High,Heavy Rain,76.12,2.0,148.22,Cancelled,,C_005097,D_004592
B_000002,2025-07-07,06:13:00,Monday,0,6,Mumbai,Loc_32,Loc_38,Cab,9.67,43.54,42.28,Medium,Heavy Rain,254.15,1.8,465.85,Completed,,C_008459,D_000148
B_000003,2025-08-23,08:53:00,Saturday,1,8,Chennai,Loc_28,Loc_1,Auto,16.18,48.55,,Low,Heavy Rain,234.2,1.9,457.03,Cancelled,,C_003471,D_004976
B_000004,2025-04-12,10:25:00,Saturday,1,10,Delhi,Loc_16,Loc_30,Bike,1.02,4.61,4.76,Medium,Rain,28.2,1.8,51.03,Completed,,C_002161,D_001173
B_000005,2025-08-23,00:08:00,Saturday,1,0,Hyderabad,Loc_22,Loc_31,Bike,12.35,55.56,64.53,Medium,Clear,118.77,1.2,144.73,Completed,,C_005617,D_001175
B_000006,2025-11-22,20:28:00,Saturday,1,20,Mumbai,Loc_38,Loc_30,Bike,22.46,101.08,111.85,Medium,Clear,199.7,1.5,296.65,Completed,,C_004090,D_002475
B_000007,2025-09-09,05:32:00,Tuesday,0,5,Mumbai,Loc_48,Loc_12,Auto,17.33,51.99,,Low,Heavy Rain,247.96,1.6,391.31,Cancelled,,C_002606,D_001222
B_000008,2025-08-24,02:20:00,Sunday,1,2,Delhi,Loc_50,Loc_39,Auto,10.31,68.04,78.36,High,Clear,163.72,1.4,226.01,Completed,,C_005779,D_002905
B_000009,2025-07-15,11:38:00,Tuesday,0,11,Chennai,Loc_22,Loc_37,Cab,16.85,75.83,77.45,Medium,Clear,383.3,1.2,462.18,Completed,,C_007791,D_004191
B_000010,2025-08-09,21:39:00,Saturday,1,21,Chennai,Loc_49,Loc_30,Auto,23.48,154.95,,High,Heavy Rain,321.73,2.0,624.25,Cancelled,,C_002849,D_000160
